Position,Game,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update
99,The Lego Ninjago Movie Videogame,Warner Bros. Interactive Entertainment,Traveller's Tales,N/A,N/A,N/A,N/A,22nd Sep 17,29th May 18
100,Go Vacation,Nintendo,Bandai Namco Studios,N/A,N/A,N/A,N/A,27th Jul 18,30th Mar 19
101,Bayonetta 2,Nintendo,PlatinumGames,N/A,9.5,N/A,0.37m,16th Feb 18,17th Apr 18
102,Shovel Knight,Yacht Club Games,Yacht Club Games,N/A,9.0,N/A,0.37m,09th Apr 19,28th Jan 19
103,Nintendo Labo: Toy-Con 02 Robot Kit,Nintendo,Nintendo EPD,N/A,7.0,N/A,N/A,20th Apr 18,18th Nov 18
104,Mega Man 11,Capcom,Capcom,N/A,8.0,N/A,N/A,02nd Oct 18,12th Sep 18
105,"LEGO Harry Potter Collection
Read the review",Warner Bros. Interactive Entertainment,Traveller's Tales,6.0,N/A,N/A,N/A,30th Oct 18,27th Oct 18
106,Dark Souls: Remastered,Bandai Namco Entertainment,From Software,N/A,8.8,9.0,N/A,19th Oct 18,05th Jun 18
107,Cars 3: Driven to Win,Warner Bros. Interactive Entertainment,Avalanche Software,N/A,N/A,N/A,N/A,13th Jun 17,25th Feb 18
108,Warriors  Orochi 4,Koei Tecmo,Omega Force,N/A,8.5,N/A,0.31m,16th Oct 18,11th Nov 18
109,Monopoly for Nintendo Switch,Ubisoft,Engine Software,N/A,5.3,N/A,N/A,31st Oct 17,28th Jan 19
110,NBA 2K19,2K Sports,Visual Concepts,N/A,N/A,N/A,N/A,11th Sep 18,08th Jun 18
111,"Bloodstained: Curse of the Moon
Read the review",Inti Creates,Inti Creates,7.0,N/A,N/A,0.30m,24th May 18,05th Jun 18
112,Just Dance 2017,Ubisoft,Ubisoft Paris,N/A,6.5,N/A,N/A,03rd Mar 17,06th Apr 18
113,"Overcooked! 2
Read the review",Sold Out,Ghost Town Games,8.0,8.4,N/A,N/A,07th Aug 18,14th Jun 18
114,The Binding of Isaac: Afterbirth+,Nicalis,Nicalis,N/A,9.0,N/A,N/A,17th Mar 17,18th Jan 18
115,Carnival Games,2K Games,Cat Daddy Games,N/A,N/A,N/A,N/A,06th Nov 18,22nd Sep 18
116,The World Ends with You: Final Remix,Nintendo,Square Enix,N/A,7.4,N/A,N/A,12th Oct 18,30th Mar 19
117,My Hero One's Justice,Bandai Namco Entertainment,Byking,N/A,N/A,N/A,N/A,26th Oct 18,12th Sep 18
118,Mega Man Legacy Collection 1+2,Capcom,Digital Eclipse Software,N/A,8.5,N/A,N/A,22nd May 18,04th Jul 18
119,Sid Meier's Civilization VI,2K Games,Firaxis Games,N/A,9.4,N/A,N/A,16th Nov 18,19th Dec 18
120,Hollow Knight,Team Cherry,Team Cherry,N/A,N/A,10.0,0.25m,12th Jun 18,01st Dec 18
121,Kamiko,Flyhigh Works,Skipmore,N/A,N/A,N/A,0.25m,27th Apr 17,16th Jan 18
122,Hello Neighbor,Gearbox Software,Dynamic Pixels,N/A,N/A,N/A,N/A,27th Jul 18,06th Nov 18
123,WWE 2K18,2K Sports,Yuke's,N/A,N/A,N/A,N/A,05th Dec 17,N/A
124,Attack on Titan 2,Koei Tecmo,Omega Force,N/A,7.0,N/A,N/A,20th Mar 18,30th Mar 18
125,Skylanders Imaginators,Activision,Toys for Bob,N/A,6.9,N/A,N/A,03rd Mar 17,26th Mar 18
126,Dragon Quest Builders: Revive Alefgard,Square Enix,Square Enix,N/A,8.0,N/A,N/A,09th Feb 18,04th Feb 18
127,Fate/Extella: The Umbral Star,Xseed Games,Marvelous Entertainment,N/A,8.0,N/A,N/A,25th Jul 17,02nd Jan 18
128,Disgaea 5 Complete,NIS America,Nippon Ichi Software,N/A,9.0,N/A,0.20m,23rd May 17,25th Feb 18
129,Valkyria Chronicles 4,Sega,Sega,N/A,8.6,N/A,N/A,25th Sep 18,11th Sep 18
130,Street Fighter 30th Anniversary Collection,Capcom,Capcom,N/A,8.5,N/A,N/A,29th May 18,07th Nov 18
131,Sega Genesis Classics,Sega,Sega,N/A,N/A,N/A,N/A,07th Dec 18,22nd Sep 18
132,Bendy and the Ink Machine,Rooster Teeth Games,TheMeatly Games,N/A,N/A,N/A,N/A,20th Nov 18,19th Dec 18
133,Katamari Damacy Reroll,Bandai Namco Entertainment,Bandai Namco Games,N/A,8.8,N/A,N/A,07th Dec 18,13th Sep 18
134,Axiom Verge,Thomas Happ Games,Thomas Happ Games,N/A,7.5,N/A,N/A,21st Nov 17,12th Jan 18
135,Sports Party,Ubisoft,Magic Pockets,N/A,N/A,N/A,N/A,30th Oct 18,02nd Nov 18
136,Harvest Moon: Light of Hope,Natsume,Natsume,N/A,N/A,N/A,N/A,29th May 18,14th Jun 18
137,Xenoblade Chronicles 2: Torna ~ The Golden Country,Nintendo,Monolith Soft,N/A,7.5,N/A,N/A,21st Sep 18,26th Sep 18
138,Cave Story+,Nicalis,Studio Pixel,N/A,N/A,N/A,N/A,20th Jun 17,N/A
139,"Hatsune Miku: Project Diva MegaMix
Read the review",Sega,Sega,7.0,N/A,N/A,0.15m,15th May 20,24th Jan 20
140,"Moonlighter
Read the review",Merge Games,Digital Sun,7.0,8.3,N/A,0.15m,09th Nov 18,22nd Feb 19
141,RiME,Grey Box,Tequila Works,N/A,4.5,N/A,N/A,21st Nov 17,11th Aug 18
142,Gear.Club Unlimited,Microids,Eden Games,N/A,6.1,N/A,N/A,21st Nov 17,07th Jan 18
143,Has-Been Heroes,GameTrust,Frozenbyte,N/A,4.8,N/A,N/A,28th Mar 17,N/A
144,Dragon Quest Builders 2,Square Enix,Square Enix,N/A,N/A,N/A,N/A,12th Jul 19,06th Apr 19
145,South Park: The Fractured But Whole,Ubisoft,Ubisoft San Francisco,N/A,9.5,9.5,N/A,24th Apr 18,06th Apr 18
146,NBA 2K Playgrounds 2,2K Games,Saber Interactive,N/A,N/A,N/A,N/A,09th Nov 18,11th Sep 18
147,Nickelodeon Kart Racers,GameMill Entertainment,Bamtang,N/A,2.0,N/A,N/A,23rd Oct 18,21st Sep 20
148,R.B.I. Baseball 18,MLB Advanced Media,MLB.com,N/A,N/A,N/A,N/A,20th Mar 18,20th Jan 18
149,Goosebumps: The Game,GameMill Entertainment,WayForward,N/A,N/A,N/A,N/A,09th Oct 18,14th Jun 18
150,Paw Patrol on a Roll,Outright Games,Outright Games,N/A,N/A,N/A,N/A,23rd Oct 18,07th Aug 18
151,Little Dragons Café,Aksys Games,Aksys Games,N/A,7.0,N/A,N/A,24th Aug 18,26th Sep 18
152,Farming Simulator 17,Focus Home Interactive,Giants Software,N/A,N/A,N/A,N/A,07th Nov 17,06th Jan 18
153,"Shantae: Half-Genie Hero
Read the review",Xseed Games,WayForward Technologies,7.0,N/A,N/A,N/A,08th May 18,30th Dec 18
154,Batman: A Telltale Game Series,Telltale Games,Telltale Games,N/A,N/A,N/A,N/A,14th Nov 17,05th Jan 18
155,"Snipperclips Plus: Cut It Out, Together!",Nintendo,SFB Games,N/A,8.2,8.5,N/A,03rd Mar 17,31st Mar 18
156,Pro Yakyuu Famista Evolution,Bandai Namco Games,Bandai Namco Games,N/A,N/A,N/A,N/A,02nd Aug 18,26th Aug 18
157,The Snack World: Trejarers Gold,Level 5,Level 5,N/A,N/A,N/A,N/A,14th Feb 20,09th Dec 19
158,Payday 2,505 Games,Overkill Software,N/A,5.0,N/A,N/A,27th Feb 18,08th Jan 18
159,Party Planet,Mastiff,Mastiff,N/A,N/A,N/A,N/A,12th Dec 17,09th Feb 19
160,"Dead Cells
Read the review",Merge Games,Motion Twin,7.0,9.3,N/A,N/A,15th Aug 18,06th Aug 18
161,Namco Museum Arcade Pac,Bandai Namco Entertainment,Bandai Namco,N/A,7.8,N/A,N/A,28th Sep 18,11th Feb 19
162,Wolfenstein II: The New Colossus,Bethesda Softworks,MachineGames,N/A,8.3,N/A,N/A,29th Jun 18,28th Jul 18
163,Overcooked Special Edition,Team 17,Ghost Town Games,N/A,8.4,N/A,N/A,13th Feb 18,08th Jan 18
164,Ys VIII: Lacrimosa of Dana,NIS America,Nihon Falcom Corporation,N/A,8.5,6.7,N/A,26th Jun 18,11th Jan 18
165,Troll and I,Maximum Games,Spiral House,N/A,N/A,N/A,N/A,15th Aug 17,20th Aug 18
166,Sumikko Gurashi: Sumikko Park e Youkoso,Nippon Columbia,Nippon Columbia,N/A,N/A,N/A,N/A,07th Dec 17,07th Jan 18
167,Dragon Quest Heroes I & II for Nintendo Switch,Square Enix,Omega Force,N/A,N/A,N/A,N/A,03rd Mar 17,13th Jan 18
168,Mutant Football League: Dynasty Edition,Nighthawk Interactive,Digital Dreams,N/A,N/A,N/A,N/A,30th Oct 18,08th Nov 18
169,"Shining Resonance Refrain
Read the review",Sega,Media.Vision,6.0,N/A,N/A,N/A,10th Jul 18,15th Sep 18
170,MXGP 3: The Official Motocross Videogame,Milestone S.r.l.,Milestone,N/A,N/A,N/A,N/A,17th Nov 17,25th Jun 18
171,Cartoon Network: Battle Crashers,GameMill Entertainment,Magic Pockets,N/A,N/A,N/A,N/A,31st Oct 17,25th Sep 20
172,Ben 10 (2017),Outright Games,Torus Games,N/A,N/A,N/A,N/A,14th Nov 17,21st Jan 19
173,R.B.I. Baseball 2017,MLB.com,MLB.com,N/A,N/A,N/A,N/A,05th Sep 17,N/A
174,Monster Jam: Crush It,GameMill,GameMill,N/A,N/A,N/A,N/A,31st Oct 17,N/A
175,ARK: Survival Evolved,Studio Wildcard,Studio Wildcard,N/A,4.0,N/A,N/A,30th Nov 18,22nd Sep 18
176,Seiken Densetsu Collection,Square Enix,Square Enix,N/A,N/A,N/A,N/A,01st Jun 17,N/A
177,Bass Pro Shops: The Strike - Championship Edition,Planet Entertainment,XS Games,N/A,N/A,N/A,N/A,09th Nov 18,11th Sep 18
178,Poi,Polykid,Polykid,N/A,5.0,N/A,N/A,01st Feb 17,15th Feb 19
179,One Piece: Unlimited World Red Deluxe Edition,Namco Bandai Games,Ganbarion,N/A,N/A,N/A,N/A,29th Sep 17,08th Jan 18
180,Wild Guns Reloaded,Natsume,Natsume Atari,N/A,N/A,N/A,N/A,17th Apr 18,16th Feb 19
181,Cabela's The Hunt: Championship Edition Bundle,Planet Entertainment,Planet Entertainment,N/A,N/A,N/A,N/A,09th Nov 18,11th Sep 18
182,Sushi Striker: The Way of Sushido,Nintendo,Indies Zero,N/A,7.9,N/A,N/A,08th Jun 18,23rd Jul 20
183,Hello Neighbor: Hide & Seek,Gearbox Software,Dynamic Pixels,N/A,N/A,N/A,N/A,07th Dec 18,22nd Sep 18
184,BlazBlue: Cross Tag Battle,Arc System Works,Arc System Works,N/A,8.0,N/A,N/A,05th Jun 18,06th Jun 18
185,Scribblenauts: Showdown,Warner Bros. Interactive,Shiver Games,N/A,N/A,N/A,N/A,06th Mar 18,03rd Apr 18
186,Nights of Azure 2: Bride of the New Moon,Tecmo Koei,Gust,N/A,N/A,N/A,N/A,24th Oct 17,06th Sep 18
187,America's Greatest Game Shows: Wheel of Fortune and Jeopardy!,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,30th Oct 18,16th Feb 19
188,"Ittle Dew 2+
Read the review",Nicalis,Ludosity AB,N/A,N/A,N/A,N/A,14th Nov 17,16th Feb 19
189,Touhou Kobuto V: Burst Battle,NIS America,CUBETYPE,N/A,N/A,N/A,N/A,10th Oct 17,04th Jan 18
190,Victor Vran: Overkill Edition,Wired Productions,Haemimont Games,N/A,N/A,N/A,N/A,28th Aug 18,24th Feb 19
191,Stern Pinball Arcade,Alliance Digital Media,System 3 Software,N/A,N/A,N/A,N/A,12th Dec 17,19th Feb 19
192,Asterix and Obelix XXL2,Microids,Microids,N/A,6.5,N/A,N/A,29th Nov 18,19th Feb 19
193,Disgaea 1 Complete,NIS America,Nippon Ichi Software,N/A,8.0,N/A,N/A,09th Oct 18,19th Feb 19
194,Azure Striker Gunvolt: Striker Pack,Nighthawk Interactive,Inti Creates,N/A,N/A,N/A,N/A,21st Nov 17,11th Jan 18
195,Spintires: MudRunner - American Wilds,Maximum Games,Saber Interactive,N/A,N/A,N/A,N/A,23rd Oct 18,19th Feb 19
196,Portal Knights,505 Games,Keen Games,N/A,N/A,N/A,N/A,13th Feb 18,03rd Jul 18
197,One Piece: Pirate Warriors 3 - Deluxe Edition,Bandai Namco Entertainment,Omega Force,N/A,8.5,N/A,N/A,11th May 18,20th Feb 19
