Position,Game,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update
493,Alvastia Chronicles,Kemco,Exe Create Inc.,N/A,N/A,N/A,N/A,14th Feb 19,24th Mar 19
494,"Alwa's Legacy
Read the review",Unknown,Elden Pixels,7.0,N/A,N/A,N/A,N/A,27th Sep 20
495,Ambition of the Slimes,Flyhigh Works,Flyhigh Works,N/A,N/A,N/A,N/A,18th Jan 18,04th Feb 18
496,American Fugitive,Curve Digital,Fallen Tree Games,N/A,N/A,N/A,N/A,23rd May 19,18th Apr 22
497,American Ninja Warrior: Challenge,GameMill Entertainment,Gaming Corps AB,N/A,N/A,N/A,N/A,19th Mar 19,22nd Sep 20
498,Amnesia: Collection,Unknown,Frictional Games,N/A,N/A,N/A,N/A,N/A,06th Nov 21
499,Among the Sleep,Krillbite Studio,Krillbite Studio,N/A,N/A,N/A,N/A,29th May 19,19th May 19
500,Among Us,Unknown,Innersloth,N/A,N/A,N/A,N/A,N/A,08th Nov 21
501,Anata no Yonkihi Kyoudoutan,Unknown,Nippon Ichi Software,N/A,N/A,N/A,N/A,N/A,08th Apr 18
502,"Angels of Death
Read the review",Active Gaming Media,Stardust KRNKRN,6.0,N/A,N/A,N/A,28th Jun 18,08th Jul 18
503,Animated Jigsaws: Beautiful Japanese Scenery,Rainy Frog,Dico/BottleCube,N/A,N/A,N/A,N/A,05th Apr 18,23rd Mar 18
504,Anodyne,Analgesic Productions,Analgesic Productions,N/A,N/A,N/A,N/A,28th Feb 19,09th Apr 19
505,Anonymous;Code,5pb,5pb. Games,N/A,N/A,N/A,N/A,01st Dec 20,26th Jun 19
506,Antiquia Lost,Kemco,Exe Create Inc.,N/A,N/A,N/A,N/A,16th Nov 17,18th Aug 18
507,AO Tennis 2,Big Ben Interactive,Big Ant Studios,N/A,N/A,N/A,N/A,09th Jan 20,27th Dec 19
508,Aokana: Four Rhythm Across the Blue,Sprite,Sprite,N/A,N/A,N/A,N/A,21st Aug 20,11th May 20
509,Ape Out,Devolver Digital,Gabe Cuzzillo,N/A,N/A,N/A,N/A,28th Feb 19,06th Nov 21
510,Aperion Cyberstorm,aPriori Digital,aPriori Digital,N/A,N/A,N/A,N/A,08th Feb 18,04th Feb 18
511,Apex Legends,Electronic Arts,Respawn Entertainment,N/A,N/A,N/A,N/A,01st Dec 20,19th Jun 20
512,AQUA KITTY UDX,Tikipod,Tikipod,N/A,N/A,N/A,N/A,15th Feb 18,02nd Mar 18
513,"Aragami: Shadow Edition
Read the review",Merge Games,Lince Works,6.0,N/A,N/A,N/A,26th Feb 19,24th Mar 19
514,Arcade Archives: Crazy Climber,Hamster Corporation,Hamster,N/A,N/A,N/A,N/A,08th Feb 18,23rd Mar 18
515,Arcade Archives: Donkey Kong,Hamster Corporation,Hamster Corporation,N/A,N/A,N/A,N/A,14th Jun 18,10th Aug 19
516,Arcade Archives: Double Dragon,Taito Corporation,Technos Japan Corporation,N/A,N/A,N/A,N/A,18th Jan 18,04th Feb 18
517,Arcade Archives: Heroic Episode,Hamster Corporation,Irem Corp.,N/A,N/A,N/A,N/A,22nd Feb 18,02nd Mar 18
518,Arcade Archives: Kid Niki Radical Ninja,Hamster Corporation,Irem Corp.,N/A,N/A,N/A,N/A,25th Jan 18,04th Feb 18
519,Arcade Archives: Mario Bros.,Hamster Corporation,Nintendo R&D1 / Intelligent Systems,N/A,N/A,N/A,N/A,27th Sep 17,04th Feb 18
520,Arcade Archives: Moon Patrol,Hamster Corporation,Hamster,N/A,N/A,N/A,N/A,22nd Mar 18,23rd Mar 18
521,Arcade Archives: Psycho Soldier,Hamster Corporation,SNK,N/A,N/A,N/A,N/A,25th Apr 19,20th Apr 19
522,Arcade Archives: Star Force,Hamster Corporation,Hamster,N/A,N/A,N/A,N/A,01st Mar 18,23rd Mar 18
523,Arcade Archives: Traverse USA,Hamster Corporation,Irem Corp.,N/A,N/A,N/A,N/A,30th Nov 17,04th Feb 18
524,Arcade Archives: Vs. Super Mario Bros.,Hamster Corporation,Nintendo,N/A,N/A,N/A,N/A,22nd Dec 17,04th Feb 18
525,Arcade Spirits,PQube,Fiction Factory Games,N/A,N/A,N/A,N/A,01st Dec 20,16th Aug 19
526,Arena Of Valor,Unknown,TiMi Studios,N/A,N/A,N/A,N/A,N/A,08th Nov 20
527,Arietta of Spirits,Unknown,Third Spirit Games,N/A,N/A,N/A,N/A,N/A,13th Jun 21
528,Ary and the Secret of Seasons,Modus Games,eXiin,N/A,N/A,N/A,N/A,01st Sep 20,10th Aug 19
529,Asdivine Dios,Kemco,Kemco,N/A,N/A,N/A,N/A,05th Jun 19,09th Jun 19
530,Asdivine Hearts II,Kemco,Exe Create Inc.,N/A,N/A,N/A,N/A,24th Jan 19,23rd Mar 19
531,Asonde Shogi ga Tsuyoku Naru Ginsei Shogi DX,Silver Star Japan,Silver Star,N/A,N/A,N/A,N/A,14th Dec 17,09th Oct 18
532,Assassin's Creed III Remastered,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,21st May 19,22nd Mar 19
533,Assassin's Creed Odyssey: Cloud Version,Ubisoft,Ubisoft Quebec,N/A,N/A,N/A,N/A,05th Oct 18,06th Nov 18
534,Assassin's Creed: The Rebel Collection,Ubisoft,Ubisoft,N/A,N/A,N/A,N/A,06th Dec 19,05th Nov 21
535,Assault Android Cactus,Witch Beam Games,Witch Beam,N/A,N/A,N/A,N/A,23rd Sep 15,28th Jun 19
536,Assault Gunners HD Edition,Unknown,SHADE Inc.,N/A,N/A,N/A,N/A,N/A,03rd Jul 18
537,"Astebreed
Read the review",Unknown,Edelweiss,9.0,N/A,N/A,N/A,N/A,07th Nov 18
538,Asterix & Obelix XXL 3: The Crystal Menhir,Microids,OSome Studio,N/A,N/A,N/A,N/A,21st Nov 19,15th Aug 19
539,Asterix & Obelix: Slap them All!,Unknown,Mr. Nutz Studio,N/A,N/A,N/A,N/A,N/A,26th Aug 21
540,Astria Ascending,Unknown,Artisan Studios,N/A,N/A,N/A,N/A,N/A,15th Jun 21
541,Astro Bears Party,QubicGames,QubicGames,N/A,N/A,N/A,N/A,28th Sep 17,04th Feb 18
542,Astro Duel Deluxe,Panic Button,Panic Button,N/A,N/A,N/A,N/A,30th May 17,05th Feb 18
543,"At Sundown: Shots in the Dark
Read the review",Versus Evil,Mild Beast Games,6.0,N/A,N/A,N/A,22nd Jan 19,20th Jan 19
544,Atelier Lulua: The Scion of Arland,Koei Tecmo,Gust,N/A,N/A,N/A,N/A,24th May 19,22nd Mar 19
545,Atelier Ryza 2: Lost Legends & the Secret Fairy,Koei Tecmo,Gust,N/A,N/A,N/A,N/A,26th Jan 21,09th Dec 20
546,Atelier Ryza: Ever Darkness & the Secret Hideout,Koei Tecmo,Gust,N/A,N/A,N/A,N/A,29th Oct 19,08th Jul 19
547,Atelier Sophie 2: The Alchemist of the Mysterious Dream,Unknown,Gust,N/A,N/A,N/A,N/A,N/A,13th Jan 22
548,ATOMIK: RunGunJumpGun,Gambitious,ThirtyThree,N/A,N/A,N/A,N/A,08th Feb 18,28th Jan 18
549,Attack on Titan 2: Final Battle,Koei Tecmo,Omega Force,N/A,N/A,N/A,N/A,05th Jul 19,13th Jun 19
550,AVICII Invector,Wired Productions,Wired Productions,N/A,N/A,N/A,N/A,08th Sep 20,17th Aug 20
551,AWAY: Journey to the Unexpected,PLAYDIUS,Aurelien Regard Games,N/A,N/A,N/A,N/A,30th Dec 18,01st Feb 18
552,Axiom Verge 2,Thomas Happ Games,Thomas Happ Games,N/A,N/A,N/A,N/A,11th Aug 21,10th Dec 19
553,Azkend 2: The World Beneath,10tons,10tons Ltd,N/A,N/A,N/A,N/A,12th Jan 18,18th Jan 18
554,Azure Striker Gunvolt 2,Inti Creates,Inti Creates,N/A,N/A,N/A,N/A,31st Aug 17,11th Jun 20
555,Azure Striker Gunvolt 3,Unknown,Inti Creates,N/A,N/A,N/A,N/A,N/A,27th Jun 20
556,Baba is You,Unknown,Unknown,N/A,N/A,N/A,N/A,N/A,07th Mar 19
557,Back to Bed,2Awesome Studio,Bedtime Digital Games,N/A,N/A,N/A,N/A,11th Apr 19,14th May 19
558,Bad North,Raw Fury,Plausible Concept,N/A,N/A,N/A,N/A,20th Aug 18,23rd Mar 18
559,Bakugan: Champions of Vestroia,Warner Bros. Interactive Entertainment,WayForward,N/A,N/A,N/A,N/A,03rd Nov 20,10th Jul 20
560,Balan Wonderworld,Unknown,Square Enix,N/A,N/A,N/A,N/A,N/A,07th Aug 20
561,Baldo,Unknown,Naps Team,N/A,N/A,N/A,N/A,N/A,23rd Jun 20
562,Baldur's Gate II: Enhanced Edition,Beamdog,Overhaul Games,N/A,N/A,N/A,N/A,24th Sep 19,08th Jun 19
563,Baldur's Gate: Enhanced Edition,Skybound Games,Overhaul Games,N/A,N/A,N/A,N/A,24th Sep 19,08th Jun 19
564,Baldur's Gate: Siege of Dragonspear,Beamdog,Beamdog,N/A,N/A,N/A,N/A,24th Sep 19,08th Jun 19
565,Banner of the Maid,CE-Asia,Azure Flame Studio,N/A,N/A,N/A,N/A,12th Aug 20,09th Oct 20
566,Banner Saga 3,Versus Evil,Stoic Studio,N/A,N/A,N/A,N/A,01st Jul 18,23rd Mar 18
567,Bard's Gold,Pixel Lantern,Pixel Lantern,N/A,N/A,N/A,N/A,05th Mar 19,28th Apr 19
568,Baseball Riot,10tons Ltd,10tons Ltd,N/A,N/A,N/A,N/A,19th Jan 18,05th Feb 18
569,Bastion,Unknown,Supergiant Games,N/A,N/A,N/A,N/A,N/A,06th Nov 21
570,"Battle Brothers
Read the review",Unknown,Overhype Studios,7.0,N/A,N/A,N/A,N/A,19th Feb 21
571,Battle Chef Brigade,Adult Swim,Trinket Studios,N/A,7.5,N/A,N/A,20th Nov 17,04th Feb 18
572,Battle Princess Madelyn,Casual Bit Games,Casual Bit Games Inc.,N/A,N/A,N/A,N/A,19th Dec 18,17th Nov 18
573,Battle Worlds: Kronos,THQ Nordic,KING Art Games,N/A,N/A,N/A,N/A,11th Jun 19,13th Jun 19
574,Bayonetta,Nintendo,PlatinumGames,N/A,N/A,N/A,N/A,16th Feb 18,02nd Aug 20
575,Bayonetta 3,Nintendo,PlatinumGames,N/A,N/A,N/A,N/A,01st Dec 20,31st Dec 17
576,Beach Buggy Racing,Vector Unit,Vector Unit,N/A,N/A,N/A,N/A,14th Sep 17,02nd Mar 18
577,"Beach Buggy Racing 2: Island Adventure
Read the review",Unknown,Vector Unit,6.5,N/A,N/A,N/A,N/A,17th Mar 21
578,Bear and Breakfast,Unknown,Armor Games,N/A,N/A,N/A,N/A,N/A,16th Oct 20
579,Beasts of Maravilla Island,Unknown,Banana Bird Studios,N/A,N/A,N/A,N/A,N/A,05th Aug 21
580,Bee Simulator,Unknown,Varsav Games Studio,N/A,N/A,N/A,N/A,N/A,03rd Aug 18
581,Behind Closed Doors: A Developer's Tale,Unknown,PEW Games,N/A,N/A,N/A,N/A,N/A,18th Jun 22
582,Behold the Kickmen,Ant Workshop,Size Five Games,N/A,N/A,N/A,N/A,18th Jun 20,17th Apr 22
583,Beholder 2,Alawar Entertainment,"Alawar Entertainment, Inc.",N/A,N/A,N/A,N/A,15th Aug 19,11th Jul 22
584,Beyond a Steel Sky,Unknown,Revolution Software,N/A,N/A,N/A,N/A,N/A,01st Sep 21
585,Big Rumble Creed Champions Boxing,Unknown,Survios,N/A,N/A,N/A,N/A,03rd Sep 21,12th Jun 21
586,Binaries,Ant Workshop Ltd,Ant Workshop Ltd,N/A,N/A,N/A,N/A,28th Sep 17,02nd Mar 18
587,BINGO for Nintendo Switch,Starsign,Starsign,N/A,N/A,N/A,N/A,15th Mar 18,02nd Nov 18
588,Biohazard 7: Resident Evil - Cloud Version,Capcom,Capcom,N/A,N/A,N/A,N/A,24th May 18,06th Nov 18
589,BioShock: The Collection,2K Games,"Blind Squirrel Digital, Inc",N/A,N/A,N/A,N/A,29th May 20,03rd Apr 20
590,Biped,bilibili,NEXT Studios,N/A,N/A,N/A,N/A,21st May 20,05th Aug 19
591,Bit Dungeon Plus,Dolores Entertainment SL,Dolores Entertainment SL,N/A,N/A,N/A,N/A,08th Mar 18,23rd Mar 18
592,Bite the Bullet,Graffiti,Mega Cat Studios,N/A,N/A,N/A,N/A,13th Aug 20,13th Aug 19
593,Black Book,HypeTrain Digital,Morteshka,N/A,N/A,N/A,N/A,01st Dec 20,16th Jan 20
594,Black Hole,Dufgames,Dufgames,N/A,N/A,N/A,N/A,06th Feb 18,01st Feb 18
595,Black The Fall,Sand Sailor Studio,Sand Sailor Studio,N/A,N/A,N/A,N/A,14th Dec 17,18th Jan 18
596,Blackwind,Unknown,Drakkar Dev,N/A,N/A,N/A,N/A,N/A,19th Jan 22
597,Blade Arcus Rebellion from Shining,Sega,Studio Saizensen,N/A,N/A,N/A,N/A,14th Mar 19,24th Feb 19
598,Blair Witch,Unknown,Bloober Team,N/A,N/A,N/A,N/A,N/A,07th Aug 20
599,Blasphemous,Team 17,The Game Kitchen,N/A,N/A,8.0,N/A,10th Sep 19,17th Aug 19
600,Blaster Master Zero,Inti Creates,Inti Creates,N/A,N/A,N/A,N/A,09th Mar 17,02nd Mar 18
601,"Blaster Master Zero 2
Read the review",Inti Creates,Inti Creates,7.0,N/A,N/A,N/A,19th Mar 19,09th Mar 20
602,"Blaster Master Zero 3
Read the review",Unknown,Inti Creates,7.5,N/A,N/A,N/A,N/A,19th Jun 21
603,BlazBlue: Central Fiction,Aksys Games,Arc System Works,N/A,N/A,N/A,N/A,07th Feb 19,25th Jan 19
604,Blazing Beaks,Applava,Applava,N/A,N/A,N/A,N/A,10th May 19,08th Aug 19
605,"Blazing Chrome
Read the review",The Arcade Crew,JoyMasher,8.0,N/A,N/A,N/A,11th Jul 19,07th Jul 19
606,Bleed,Digerati,Bootdisk Revolution,N/A,N/A,8.3,N/A,14th Dec 17,16th Apr 19
607,"Bleed 2
Read the review",Digerati,Bootdisk Revolution,5.0,N/A,N/A,N/A,08th Mar 18,16th Apr 19
608,Blood Bowl 3,Unknown,Cyanide Studio,N/A,N/A,N/A,N/A,N/A,12th Jun 21
609,BloodRayne Betrayal: Fresh Bites,Unknown,WayForward,N/A,N/A,N/A,N/A,N/A,14th Jun 21
610,Bloodroots,Paper Cult,Paper Cult,N/A,N/A,N/A,N/A,28th Feb 20,17th Aug 21
611,"Bloodstained: Curse of the Moon 2
Read the review",Inti Creates,Inti Creates,8.0,N/A,N/A,N/A,10th Jul 20,27th Jun 20
612,Bloodstained: Ritual of the Night,"505 Games US, Inc.",Way Forward Technologies,N/A,N/A,N/A,N/A,25th Jun 19,08th Apr 19
613,Bloody Zombies,nDreams,Paw Print Games Ltd,N/A,N/A,N/A,N/A,23rd Dec 17,02nd Mar 18
614,Blossom Tales 2: The Minotaur Prince,Unknown,Castle Pixel,N/A,N/A,N/A,N/A,N/A,30th Jun 22
615,Blossom Tales: The Sleeping King,FDG Entertainment,Castle Pixel,N/A,N/A,10.0,N/A,21st Dec 17,13th Jan 18
616,"Blue Fire
Read the review",Graffiti,Robi Studios,6.5,N/A,N/A,N/A,04th Feb 21,04th Aug 20
617,Blue Reflection: Second Light,Unknown,Gust,N/A,N/A,N/A,N/A,N/A,10th Nov 21
618,Bokuhime Project,Nippon Ichi Software,Wizard Soft,N/A,N/A,N/A,N/A,23rd Apr 20,13th Feb 20
619,Bomb Chicken,Nitrome,Nitrome,N/A,N/A,N/A,N/A,01st Jul 18,23rd Mar 18
620,Bomber Crew,Merge Games,Runner Duck,N/A,N/A,N/A,N/A,12th Mar 19,03rd Jan 19
621,Bombslinger,Plug In Digital,Mode4,N/A,N/A,N/A,N/A,11th Apr 18,23rd Mar 19
622,Bonkies,Unknown,Studio Gauntlet,N/A,N/A,N/A,N/A,N/A,01st Aug 21
623,Bookbound Brigade,Intragames,Digital Tales,N/A,N/A,N/A,N/A,01st Dec 19,31st Jul 19
624,Boomerang Fu,Cranky Watermelon,Cranky Watermelon,N/A,N/A,N/A,N/A,13th Aug 20,08th Nov 21
625,Boomerang X,Devolver Digital,DANG!,N/A,N/A,N/A,N/A,08th Jul 21,19th Jun 21
626,Boost Beast,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,20th Jul 17,02nd Mar 18
627,Borderlands Legendary Collection,Take-Two Interactive,Gearbox Software,N/A,N/A,N/A,N/A,29th May 20,31st Mar 20
628,Boreal Blade,Unknown,Frozenbyte,N/A,N/A,N/A,N/A,N/A,28th Aug 19
629,Bouncy Bullets,Ratalaika Games,Ratalaika Games,N/A,N/A,N/A,N/A,12th Jul 19,13th Jul 19
630,"Bounty Battle
Read the review",Unknown,DarkScreen Games,5.0,N/A,N/A,N/A,N/A,09th Sep 20
631,BOX BOY! + BOX GIRL!,Nintendo,HAL Laboratory,N/A,N/A,N/A,N/A,26th Apr 19,11th Apr 20
632,Boyfriend Dungeon,Kitfox Games,Kitfox Games,N/A,N/A,N/A,N/A,11th Aug 21,16th Dec 19
633,Brave Dungeon + Dark Witch's Story: COMBAT,Inside System,Inside System,N/A,N/A,N/A,N/A,28th Sep 17,02nd Mar 18
634,Brawl,QubicGames,QubicGames,N/A,N/A,N/A,N/A,12th Jan 18,02nd Feb 18
635,Breathing Fear,Qubic Games,Drageus Games / QubicGames S.A.,N/A,N/A,N/A,N/A,06th Dec 19,17th Mar 20
636,Bridge Constructor Portal,Headup Games,ClockStone,N/A,N/A,N/A,N/A,28th Feb 18,22nd Feb 18
637,Brigandine: The Legend of Runersia,Happinet,Matrix Software,N/A,N/A,N/A,N/A,25th Jun 20,10th May 20
638,Broforce,Devolver Digital,Free Lives Games,N/A,N/A,N/A,N/A,06th Sep 18,06th Aug 18
639,Broken Delusion,bilibili,Zhaijidian,N/A,N/A,N/A,N/A,01st Dec 19,05th Aug 19
640,"Broken Sword 5: The Serpent's Curse
Read the review",Revolution Software,Revolution Software,7.0,N/A,N/A,N/A,21st Sep 18,13th Aug 18
641,Brothers: A Tale of Two Sons,505 Games,Starbreeze Studios,N/A,N/A,N/A,N/A,28th May 19,24th May 19
642,Bubble Bobble 4 Friends,ININ Games,Taito,N/A,N/A,N/A,N/A,31st Mar 20,20th Sep 20
643,Bubsy: Paws on Fire!,Accolade,Choice Provisions,N/A,N/A,N/A,N/A,16th May 19,15th Apr 19
644,Bug Fables: The Everlasting Sapling,Unknown,Moonsprout Games,N/A,N/A,N/A,N/A,28th May 20,22nd Dec 20
645,Bugsnax,Unknown,Young Horses,N/A,N/A,N/A,N/A,N/A,06th May 22
646,Bulb Boy,Bulbware,Bulbware,N/A,N/A,N/A,N/A,06th Jul 17,04th Feb 18
647,Bulletstorm: Duke of Switch Edition,Unknown,People Can Fly,N/A,N/A,N/A,N/A,N/A,28th Mar 19
648,BurgerTime Party!,Xseed Games,G-mode,N/A,N/A,N/A,N/A,01st Dec 19,06th Aug 19
649,Burnout Paradise Remastered,Electronic Arts,Criterion Games,N/A,N/A,N/A,N/A,19th Jun 20,16th Apr 20
650,"Bury Me, My Love",Plug In Digital,The Pixel Hunt,N/A,N/A,N/A,N/A,10th Jan 19,12th Dec 18
651,Bustafellows,Unknown,Nippon Cultural Broadcasting eXtend,N/A,N/A,N/A,N/A,N/A,09th Feb 22
652,Butcher,Crunching Koalas,Transhuman Design,N/A,N/A,N/A,N/A,28th Sep 17,02nd Mar 18
653,Button City,Unknown,Subliminal,N/A,N/A,N/A,N/A,N/A,13th Jun 21
654,Cadence of Hyrule - Crypt of the NecroDancer feat. The Legend of Zelda,Nintendo,Brace Yourself Games,N/A,9.5,N/A,N/A,13th Jun 19,12th Jun 19
655,"Cake Bash
Read the review",Unknown,High Tea Frog,5.0,N/A,N/A,N/A,N/A,23rd Nov 20
656,Cannibal Cuisine,Rocket Vulture,Rocket Vulture,N/A,N/A,N/A,N/A,20th May 20,09th May 20
657,Capcom Arcade 2nd Stadium,Unknown,Capcom,N/A,N/A,N/A,N/A,N/A,06th Jul 22
658,Capcom Arcade Stadium,Capcom,Capcom,N/A,N/A,N/A,N/A,17th Feb 21,17th Feb 21
659,"Capcom Fighting Collection
Read the review",Capcom,Capcom,N/A,N/A,N/A,N/A,24th Jun 22,27th Apr 22
660,Captain Tsubasa: Rise of New Champions,Bandai Namco Entertainment,Tamsoft,N/A,N/A,N/A,N/A,28th Aug 20,23rd May 20
661,Carcassonne,Asmodee Digital,Asmodee Digital,N/A,N/A,N/A,N/A,06th Dec 18,10th Nov 18
662,Card Shark,Unknown,Nerial,N/A,N/A,N/A,N/A,N/A,31st May 22
663,Cardfight!! Vanguard EX,FuRyu Corporation,FuRyu,N/A,N/A,N/A,N/A,19th Sep 19,08th Apr 19
664,Carrion,Devolver Digital,Phobia Game Studio,N/A,N/A,N/A,N/A,23rd Jul 20,13th Jul 20
665,Castle Crashers Remastered,Unknown,The Behemoth,N/A,N/A,N/A,N/A,N/A,19th Mar 19
666,Castle of Heart,7Levels,7Levels,N/A,N/A,N/A,N/A,23rd Mar 18,23rd Mar 18
667,"Castlevania Anniversary Collection
Read the review",Konami,Konami,7.0,N/A,N/A,N/A,16th May 19,14th May 19
668,"Cat Girl Without Salad: Amuse-Bouche
Read the review",Unknown,WayForward,4.0,N/A,N/A,N/A,N/A,01st Apr 20
669,Catan Universe,Asmodee Digital,Asmodee Digital,N/A,N/A,N/A,N/A,31st Dec 19,10th Nov 18
670,"Cathedral
Read the review",Unknown,Decemberborn Interactive,7.0,N/A,N/A,N/A,N/A,28th Feb 21
671,Catherine: Full Body,Atlus,Atlus,N/A,N/A,N/A,N/A,07th Jul 20,30th Mar 20
672,Caveman Warriors,JanduSoft S.L.,JanduSoft,N/A,N/A,N/A,N/A,05th Dec 17,11th Mar 18
673,Cecile,Unknown,CyberConnect2,N/A,N/A,N/A,N/A,N/A,19th Jul 18
674,"Celeste
Read the review",Matt Makes Games Inc.,Matt Makes Games Inc.,9.0,9.3,N/A,N/A,25th Jan 18,13th Jan 18
675,Chess Ultra,Ripstone,Ripstone,N/A,N/A,N/A,N/A,02nd Nov 17,11th Mar 18
676,Child of Light,Ubisoft,Ubisoft Montreal,N/A,N/A,N/A,N/A,11th Oct 18,08th Jun 21
677,"Children of Morta
Read the review",11 bit studios,Dead Mage Studio,7.0,N/A,N/A,N/A,15th Oct 19,10th Aug 19
678,Chocobo GP,Unknown,Square Enix,N/A,N/A,N/A,N/A,N/A,15th Jan 22
679,Chocobo's Mystery Dungeon: Every Buddy!,Square Enix,Square Enix,N/A,N/A,N/A,N/A,20th Mar 19,22nd Mar 19
680,ChromaGun,Pixel Maniacs,Pixel Maniacs,N/A,N/A,N/A,N/A,22nd Jan 18,11th Mar 18
681,Chrono Cross: The Radical Dreamers Edition,Square Enix,Square Enix,N/A,N/A,N/A,N/A,07th Apr 22,09th Feb 22
682,Chronos: Before the Ashes,THQ Nordic,Gunfire Games,N/A,N/A,N/A,N/A,01st Dec 20,21st Sep 20
683,Circuit Superstars,Unknown,Square Enix,N/A,N/A,N/A,N/A,N/A,10th Jun 19
684,Cities: Skylines,Paradox Interactive,Colossal Order,N/A,N/A,N/A,N/A,14th Sep 18,13th Sep 18
685,Citizen Sleeper,Unknown,Jump Over The Age,N/A,N/A,N/A,N/A,N/A,16th May 22
686,Citizens of Space,Unknown,Eden Industries,N/A,N/A,N/A,N/A,N/A,16th Jun 19
687,Clannad,Prototype,Prototype,N/A,N/A,N/A,N/A,04th Jul 19,04th Jul 19
688,Clock Zero: Shuuen no Ichibyou Devote,Idea Factory,Otomate,N/A,N/A,N/A,N/A,27th Jun 19,08th Apr 19
689,"Clockwork Aquario
Read the review",Unknown,Westone Bit Entertainment,7.0,N/A,N/A,N/A,N/A,02nd Nov 20
690,Cloudpunk,Maple Whispering Limited,Ion Lands,N/A,N/A,N/A,N/A,15th Oct 20,07th Sep 20
691,Clumsy Rush,RedDeerGames,RedDeerGames,N/A,N/A,N/A,N/A,23rd Dec 19,07th May 22
692,"ClusterPuck 99
Read the review",Coatsink Software,PHL Collective,6.0,N/A,N/A,N/A,29th Mar 18,23rd Mar 18
693,"Clustertruck
Read the review",TinyBuild Games,Landfall,5.0,N/A,N/A,N/A,15th Mar 18,01st Mar 18
694,Cobra Kai: The Karate Kid Saga Continues,GameMill Entertainment,GameMill Entertainment,N/A,N/A,N/A,N/A,27th Oct 20,24th Sep 20
695,Code Shifter,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,01st Dec 20,10th Jan 20
696,Coffin Dodgers,Wales Interactive Ltd.,Milky Tea,N/A,N/A,N/A,N/A,13th Mar 18,23rd Mar 18
697,Collar x Malice,Aksys Games,Idea Factory,N/A,N/A,N/A,N/A,25th Jun 20,04th May 20
698,Collar x Malice: Unlimited,Aksys Games,Idea Factory,N/A,N/A,N/A,N/A,13th Aug 20,13th May 20
699,Collection of Mana,Square Enix,Square Enix,N/A,N/A,N/A,N/A,11th Jun 19,11th Jun 19
700,Collection of SaGa: Final Fantasy Legend,Square Enix,Square Enix,N/A,N/A,N/A,N/A,15th Dec 20,28th Aug 20
701,Conan Chop Chop,Unknown,Funcom Oslo A/S,N/A,N/A,N/A,N/A,N/A,10th Jun 19
702,Conga Master Party!,Undercoders,Rising Star Games,N/A,N/A,N/A,N/A,28th Sep 17,11th Mar 18
703,"Contra Anniversary Collection
Read the review",Konami,Konami,7.0,N/A,N/A,N/A,11th Jun 19,13th Jun 19
704,Contra: Rogue Corps,Konami,Konami,N/A,N/A,N/A,N/A,24th Sep 19,12th Jun 19
705,"Cook, Serve, Delicious! 2!!",Vertigo Games,Vertigo Gaming Inc.,N/A,N/A,N/A,N/A,10th Apr 19,04th Apr 19
706,"Cook, Serve, Delicious! 3?!",Vertigo Gaming Inc.,Vertigo Gaming Inc.,N/A,N/A,N/A,N/A,14th Oct 20,10th Aug 19
707,Cooking Mama: CookStar,Unknown,Ravenscourt,N/A,N/A,N/A,N/A,N/A,17th Aug 19
708,Coromon,Unknown,TRAGsoft,N/A,N/A,N/A,N/A,N/A,01st Mar 22
709,Corpse Party: Blood Drive,Xseed Games,MAGES. Inc.,N/A,N/A,N/A,N/A,10th Oct 19,07th Oct 19
710,Cotton Fantasy,Unknown,Studio Saizensen,N/A,N/A,N/A,N/A,N/A,05th Mar 22
711,"Cotton Reboot!
Read the review",Unknown,Rocket-Engine,7.0,N/A,N/A,N/A,N/A,26th Jun 21
712,Cozy Grove,Unknown,Spry Fox,N/A,N/A,N/A,N/A,N/A,28th Sep 21
713,Crash Bandicoot 4: It's About Time,Activision,Toys for Bob,N/A,N/A,N/A,N/A,12th Mar 21,06th Nov 21
714,Crash Team Racing Nitro-Fueled,Activision,Beenox,N/A,N/A,N/A,N/A,21st Jun 19,01st May 19
715,Crawl,Powerhoof Pty Ltd,Powerhoof,N/A,N/A,N/A,N/A,19th Dec 17,06th Feb 19
716,"Creature in the Well
Read the review",Unknown,Flight School Studio,7.0,N/A,N/A,N/A,N/A,04th Sep 19
717,Cricket 19 - The Official Game of the Ashes,Big Ant Studios,Big Ant Studios,N/A,N/A,N/A,N/A,31st May 19,02nd May 19
718,Crimsonland,10tons Ltd,10tons Ltd,N/A,N/A,N/A,N/A,24th Nov 17,11th Mar 18
719,Cris Tales,Modus Games,Dreams Uncorporated,N/A,N/A,N/A,N/A,01st Dec 20,10th Aug 19
720,"Croixleur Sigma
Read the review",Unknown,souvenir circ.,6.0,N/A,N/A,N/A,N/A,27th Mar 19
721,"CrossCode
Read the review",Deck 13,Radical Fish Games,8.0,N/A,N/A,N/A,09th Jul 20,08th Apr 19
722,Crown Trick,Team17,NEXT Studios,N/A,N/A,N/A,N/A,16th Oct 20,28th Sep 20
723,Cruis'n Blast,Nintendo,Nintendo,N/A,N/A,N/A,N/A,14th Sep 21,06th Nov 21
