rota;tipologia;sentido;percurso;bairros;extensao;inauguracao
Ciclofaixa Antônio Falcão (2a Etapa);Ciclofaixa;Bidirecional e Unidirecional;Rua Antônio Falcão da Orla de Boa Viagem até a Via Mangue. Rua Francisco da Cunha entre a Rua Antônio Falcão e Rua Félix de Brito. Rua Félix de Brito até a Orla de Boa Viagem.;Boa Viagem;2,0;2020
Ciclofaixa Hospício ;Ciclofaixa;Bidirecional;Rua do Hospício entre a Rua do Riachuelo e Av. Mário Melo.;Santo Amaro;1,0;2020
Ciclofaixa Padre Roma;Ciclofaixa e Área Compartilhada;Bidirecional ;Rua Padre Roma, Rua Padre Roma (novo acesso), Rua Padre Roma, Rua Muniz Tavares  e Rua do Futuro.;Jaqueira, Parnamirim e Tamarineira ;1,0;2020
Rota Dom Helder Câmara;Ciclorrota, Ciclofaixa, Ciclovia e Área compartilhada;Bidirecional e Unidirecional;Rua Araçatuba, Rua Araraquara, Rua Itaquicé, Rua Itaimbé, Rua Potengy, Rua Blumenau, Rua Itanagé, Rua Pintor Antônio Albuquerque, Rua Virgínia Heráclio, Rua São Nicolau e Av. Dom Helder Câmara.;Ibura e Ipsep;4,0;2021
Ciclofaixa Rua Amélia;Ciclofaixa e Ciclorrota;Bidirecional e Unidirecional;Rua da Hora, Rua Amélia, Rua Esmeraldino Bandeira, Rua Alberto Paiva, Rua Antônio Novais e Av. Beira Rio.;Graças e Espinheiro;2,0;2021
Ciclofaixa Santo Antônio;Ciclofaixa e Área Compartilhada;Bidirecional;Rua do Hospício, Rua Imperatriz Tereza Cristina, Ponte Boa Vista, Rua Nova, Praça da Independência e Rua Primeiro de Março.;Boa Vista e Santo Antônio;1,0;2021
Ciclovia Rio Beberibe;Ciclovia;Bidirecional;Rua Compositor Vinícius de Morais, Rua Rio Beberibe e Rua Rio Morno.;Porto da Madeira, Beberibe e Dois Unidos;2,0;2021
Ciclofaixa Hipódromo;Ciclofaixa e Ciclorrota;Bidirecional e Unidirecional;Rua Mem de Sá, Rua Couto Magalhães, Rua Fonseca Oliveira, Rua Madre Rosa Gattorno, Rua José Alexandre Caçador e Rua Marquês de Baipendi.;Hipódromo e Porto de Parada;1,0;2021
Ciclofaixa CDU/UFPE;Ciclofaixa e Ciclorrota;Bidirecional;Av. Professor Artur de Sá, Rua Professor Antônio Coelho, Rua Acadêmico Hélio Ramos, Rua Emiliano Braga e Rua General Polidoro.;Cidade Universitária;3,0;2021
Ciclofaixa Rua do Futuro;Ciclofaixa;Bidirecional;Rua do Futuro e Rua João Ramos até a Rua Amélia.;Jaqueira e Graças;1,0;2021
Rota Josias de Albuquerque (2a etapa);Ciclofaixa e Ciclorrota;Bidirecional;Rua Treze de Maio, Rua Buarque de Macêdo, Rua Leão Falcão e Rua Barão de Igarassu.;Santo Amaro;1,0;2021
Ciclofaixa Nunes Machado;Ciclovia e Ciclofaixa ;Bidirecional;Rua da Soledade, Rua Nunes Machado e Av. João de Barros até a Rua Joaquim Felipe.;Soledade;0,5;2021
Ciclofaixa João de Barros;Ciclofaixa;Unidirecional e Bidirecional;Rua dos Palmares, Rua Dr. Carlos Chagas e Av. João de Barros até a Ponte João de Barros.;Santo Amaro;1,0;2021
Ciclofaixa Torre;Ciclofaixa e Ciclorrota;Unidirecional e Bidirecional;Rua Conselheiro Theodoro, Praça Professor Barreto Campelo, Rua Marquês de Maricá, Rua Dianópolis, Rua Odete Monteiro, Rua Dez de Novembro, Rua Tomaz Gonzaga. Rua Souza Bandeira entre a Rua Marquês de Maricá e a Av. Caxangá.;Torre, Cordeiro e Zumbi;2,8;2021
Ciclovia Bruno Veloso;Ciclofaixa, Ciclovia e Área compartilhada;Bidirecional;Rua Bruno Veloso.;Boa Viagem;1,0;2022
Rota Parque das Graças;Ciclorrota e Área Compartilhada;Unidirecional;Av. Beira Rio.;Graças;0,2;2022
Ciclofaixa Pista Local da Agamenon;Ciclofaixa;Bidirecional;Pista Local Av. Gov. Agamenon Magalhães.;Boa Vista e Santo Amaro;1,0;2022
Ciclofaixa Rua da Saudade;Ciclofaixa e Ciclorrota;Bidirecional;Rua da Saudade.;Boa Vista;1,0;2022
Ciclofaixa Lindolfo Collor;Ciclofaixa e Ciclorrota;Bidirecional;Rua General Vargas, Rua Lindolfo Collor e Rua Dr. Miguel Vieira Ferreira.;Cidade Universitária, Engenho do Meio e Cordeiro;2,2;2022
Ciclofaixa Emiliano Braga;Ciclofaixa;Bidirecional;Rua Emiliano Braga e Rua Manoel Joaquim de Almeida.;Iputinga;0,3;2022
Ciclofaixa Francisco Trindade;Ciclofaixa;Bidirecional;Rua Professor Francisco da Trindade e Rua Hermílio Gomes.;Campo Grande;1,0;2022
Ciclofaixa Torre (2a etapa);Ciclofaixa e Ciclorrota;Bidirecional;Av. Beira Rio, Rua Marcos André, Rua Real da Torre, Rua Visconde de Itaparica, Rua Lagoa do Rancho, Praça Gregório Bezerra, Rua Cantora Clara Nunes, Rua Carandaí, Av. Professor Estevão Francisco da Costa. Rua Pio Nono, Praça Professor Barreto Campello.;Torre;3,5;2022
Ciclofaixa Padre Inglês;Ciclofaixa;Bidirecional;Rua Padre Inglês.;Boa Vista;0,5;2022
Ciclofaixa Paissandu;Ciclofaixa e Ciclorrota;Bidirecional;Rua Paissandu, Rua Dom Bosco, Rua Visconde de Goiana até a Rua José de Alencar. Rua Barão de São Borja, Rua Rosário da Boa Vista, Rua do Aragão, Rua da Matriz, Rua Velha, Rua Dr. José Mariano até a Ponte Duarte Coelho. Praça Joaquim Nabuco, Rua Floriano Peixoto, Travessa do Cais da Detenção e Ponte Seis de Março.;Boa Vista;4,2;2023 
Ciclofaixa Marquês do Paraná;Ciclofaixa e Ciclorrota;Bidirecional;Rua Marquês do Paraná até a Rua Castro Alves. Rua Dr. Fernando Allain, Pista Local da Agamenon Magalhães até o viaduto da Av. Norte Miguel Arraes de Alencar.;Espinheiro e Encruzilhada;1,5;2023
